Year,Player,Position,Age,Team,Games,GamesStarted,MinutesPlayed,3Points,3PAttempts,2Points,2PAttempts,FreeThrows,FTAttempts,Fouls,Points
2017.0,Quinn Cook,PG,23.0,DAL,5.0,0,77.0,,,6.0,11.0,0.0,2.0,6.0,27.0
2017.0,Quinn Cook,PG,23.0,NOP,9.0,0,111.0,,,16.0,29.0,2.0,3.0,7.0,52.0
2017.0,DeMarcus Cousins,C,26.0,TOT,72.0,,2465.0,,,516.0,1069.0,517.0,670.0,278.0,1942.0
2017.0,DeMarcus Cousins,C,26.0,SAC,55.0,,1891.0,,,410.0,851.0,423.0,549.0,203.0,1528.0
2017.0,DeMarcus Cousins,C,26.0,NOP,17.0,,574.0,,,106.0,218.0,94.0,121.0,75.0,414.0
2017.0,Robert Covington,SF,26.0,PHI,67.0,,2119.0,,,155.0,320.0,143.0,174.0,203.0,864.0
2017.0,Allen Crabbe,SG,24.0,POR,79.0,,2254.0,,,169.0,345.0,105.0,124.0,171.0,845.0
2017.0,Jamal Crawford,SG,36.0,LAC,82.0,1,2157.0,,,243.0,547.0,174.0,203.0,115.0,1008.0
2017.0,Jordan Crawford,SG,28.0,NOP,19.0,0,442.0,,,68.0,123.0,20.0,26.0,30.0,267.0
2017.0,Jae Crowder,SF,26.0,BOS,72.0,,2335.0,,,176.0,326.0,176.0,217.0,161.0,999.0
2017.0,Dante Cunningham,SF,29.0,NOP,66.0,,1649.0,,,103.0,178.0,16.0,27.0,100.0,435.0
2017.0,Seth Curry,PG,26.0,DAL,70.0,,2029.0,,,201.0,381.0,85.0,100.0,126.0,898.0
2017.0,Stephen Curry,PG,28.0,GSW,79.0,,2638.0,,,351.0,654.0,325.0,362.0,183.0,1999.0
2017.0,Troy Daniels,SG,25.0,MEM,67.0,,1183.0,,,47.0,140.0,43.0,54.0,90.0,551.0
2017.0,Anthony Davis,C,23.0,NOP,75.0,,2708.0,,,730.0,1393.0,519.0,647.0,168.0,2099.0
2017.0,Deyonta Davis,C,20.0,MEM,36.0,0,238.0,0,0,24.0,47.0,10.0,18.0,40.0,58.0
2017.0,Ed Davis,PF,27.0,POR,46.0,,789.0,0,0,75.0,142.0,50.0,81.0,137.0,200.0
2017.0,Dewayne Dedmon,C,27.0,SAS,76.0,,1330.0,0,0,161.0,259.0,65.0,93.0,180.0,387.0
2017.0,Sam Dekker,SF,22.0,HOU,77.0,,1419.0,,,143.0,242.0,38.0,68.0,83.0,504.0
2017.0,Malcolm Delaney,PG,27.0,ATL,73.0,,1248.0,,,119.0,278.0,75.0,93.0,112.0,391.0
2017.0,Matthew Dellavedova,PG,26.0,MIL,76.0,,1986.0,,,129.0,319.0,82.0,96.0,153.0,577.0
2017.0,Luol Deng,SF,31.0,LAL,56.0,,1486.0,,,113.0,259.0,46.0,63.0,61.0,425.0
2017.0,DeMar DeRozan,SG,27.0,TOR,74.0,,2620.0,,,688.0,1421.0,545.0,647.0,134.0,2020.0
2017.0,Cheick Diallo,PF,20.0,NOP,17.0,0,199.0,0,0,36.0,76.0,15.0,21.0,17.0,87.0
2017.0,Boris Diaw,PF,34.0,UTA,73.0,,1283.0,,,126.0,246.0,26.0,35.0,83.0,338.0
2017.0,Gorgui Dieng,PF,27.0,MIN,82.0,,2653.0,,,316.0,618.0,136.0,167.0,254.0,816.0
